Recency,Frequency,Monetary,Total_Quantity,Total_Revenue,Invoice_Count,Unique_Products,Average_Order_Value
165,11,372.86,70,372.86,11,26,33.89636363636364
3,2,1323.32,828,1323.32,2,70,661.66
74,1,222.15999999999997,373,222.15999999999997,1,20,222.15999999999997
43,3,2671.14,993,2671.14,3,90,890.38
11,1,300.93,261,300.93,1,21,300.93
11,2,343.8,188,343.8,2,18,171.9
44,1,317.76,192,317.76,1,20,317.76
203,1,488.21000000000004,303,488.21000000000004,1,22,488.21000000000004
16,3,3560.3,1825,3560.3,3,68,1186.7666666666667
24,2,12079.99,3879,12079.99,2,165,6039.995
11,3,2719.01,831,2719.01,3,52,906.3366666666667
61,6,2563.36,1130,2563.36,6,110,427.2266666666667
15,5,1590.83,1294,1590.83,5,74,318.166
98,3,321.35,144,321.35,3,14,107.11666666666667
374,1,130.0,1,130.0,1,1,130.0
269,1,500.24,296,500.24,1,3,500.24
264,1,917.7,330,917.7,1,18,917.7
49,3,1791.15,1241,1791.15,3,90,597.0500000000001
260,3,774.62,252,774.62,3,33,258.20666666666665
45,3,2179.42,845,2179.42,3,91,726.4733333333334
260,2,763.0500000000001,319,763.0500000000001,2,31,381.52500000000003
57,3,2246.29,1020,2246.29,3,47,748.7633333333333
25,2,503.15,240,503.15,2,11,251.575
17,2,1798.2,1161,1798.2,2,75,899.1
198,1,1407.7,787,1407.7,1,82,1407.7
58,2,767.98,408,767.98,2,37,383.99
101,7,6951.49,2228,6951.49,7,119,993.0699999999999
15,1,1938.4,612,1938.4,1,65,1938.4
2,1,258.90000000000003,214,258.90000000000003,1,8,258.90000000000003
51,1,143.94,134,143.94,1,9,143.94
81,2,1120.45,539,1120.45,2,36,560.225
38,3,1433.33,614,1433.33,3,41,477.77666666666664
100,5,2285.18,911,2285.18,5,159,457.03599999999994
227,1,234.75000000000003,73,234.75000000000003,1,7,234.75000000000003
18,2,816.85,495,816.85,2,38,408.425
7,4,2048.64,1615,2048.64,4,83,512.16
310,1,931.4300000000001,591,931.4300000000001,1,65,931.4300000000001
21,3,853.65,1020,853.65,3,40,284.55
50,1,205.25,91,205.25,1,11,205.25
28,5,1031.3,490,1031.3,5,40,206.26
157,1,591.6600000000001,164,591.6600000000001,1,4,591.6600000000001
318,1,63.24,1,63.24,1,1,63.24
35,3,2975.06,1598,2975.06,3,44,991.6866666666666
21,3,1452.22,820,1452.22,3,41,484.0733333333333
56,4,12346.62,7592,12346.62,4,125,3086.655
138,1,320.38,130,320.38,1,14,320.38
45,1,346.9,138,346.9,1,22,346.9
