ds,yhat,yhat_lower,yhat_upper
2009-12-31,822483.750959911,822483.750137414,822483.7517983865
2010-01-31,651155.1498493566,651155.1490684354,651155.150689699
2010-02-28,551504.7098616675,551504.7089470855,551504.7106765051
2010-03-31,830915.3238333658,830915.3230541857,830915.3246290472
2010-04-30,678875.2567172968,678875.2558755111,678875.2575415653
2010-05-31,657705.4265471954,657705.4257107766,657705.4273209746
2010-06-30,749537.399786275,749537.3989872617,749537.4006039278
2010-07-31,648810.1885064299,648810.187704198,648810.1893376469
2010-08-31,695251.8938825175,695251.8930183233,695251.89466447
2010-09-30,921697.0891700548,921697.0883594879,921697.0899964378
2010-10-31,1161902.0829458912,1161902.0821050606,1161902.0837499185
2010-11-30,1464293.3319747294,1464293.3311587328,1464293.332733864
2010-12-31,437630.82887676125,437630.8280620827,437630.8296790014
2011-01-31,2044123.8753783738,2044123.874157354,2044123.876509643
2011-02-28,692661.2853979806,692661.2826468402,692661.2882830417
2011-03-31,2203100.099336789,2203100.0941282106,2203100.1045931587
2011-04-30,1385524.0757808497,1385524.0675073469,1385524.0842317108
2011-05-31,2080223.3354207096,2080223.323968643,2080223.347489523
2011-06-30,192339.96921080374,192339.95421911715,192339.98582836505
2011-07-31,631491.1904833047,631491.1710359153,631491.2119344736
2011-08-31,1856045.1641160557,1856045.1394776148,1856045.19033288
2011-09-30,2385785.886057399,2385785.857026014,2385785.9167883173
2011-10-31,2343290.637666009,2343290.6027327892,2343290.6745331488
2011-11-30,1619780.4714265973,1619780.4309867644,1619780.514064494
2011-12-31,65152.646925244946,65152.60095939335,65152.6954622279
