ds,yhat,yhat_lower,yhat_upper
2009-12-01,35936.49722177767,19005.958599613215,52332.314069694534
2009-12-02,30996.808907138,14490.848375151927,47586.45540341676
2009-12-03,38243.91811097002,22319.385139900533,55752.083064658626
2009-12-04,28823.12406208917,13022.706502707579,45942.54635349048
2009-12-05,10493.03475549692,-5862.933337291509,27973.34782715258
2009-12-06,18430.50730869277,1781.6387606675735,35467.54858574977
2009-12-07,36431.9222607784,21026.99650785577,53028.345992501105
2009-12-08,35724.12133102659,19152.608524466097,51853.14031974064
2009-12-09,30784.43301639642,15376.67179745121,47037.73217535917
2009-12-10,38031.54222021808,22168.716756047288,55351.34825026769
2009-12-11,28610.74817133058,12650.137778688651,43776.62331908273
2009-12-13,18218.131415199336,1583.797544707532,35587.15047043477
2009-12-14,36219.54636589554,20464.854097033025,51627.12895412595
2009-12-15,35511.74543476417,19591.51098404521,51280.566887971625
2009-12-16,30572.057118736062,15868.035361064682,47508.509074075155
2009-12-17,37819.16632117545,22907.40120122611,53836.66316550351
2009-12-18,28398.37227089637,12750.567414725963,44861.85021016938
2009-12-20,18005.755514794735,1920.8688837225468,33339.760846223355
2009-12-21,36007.17046546048,20572.381101847157,52471.466479953684
2009-12-22,35299.36953433748,19400.69148256027,52023.86252947341
2009-12-23,30359.681218317364,14354.991032659082,46585.255841719874
2010-01-04,35582.418910610286,19991.94372558477,51068.00485335888
2010-01-05,34874.617999956885,19343.020966291395,51435.203303727656
2010-01-06,29934.92970444455,13002.577437025682,46102.545553649994
2010-01-07,37182.03892738454,21155.797201198002,54127.79807208055
2010-01-08,27761.244897597277,12016.287354902312,44488.1979345255
2010-01-10,17368.62818246014,592.218164285838,33293.60125530631
2010-01-11,35370.043153663595,19371.681659028185,51093.54694421075
2010-01-12,34662.242243033135,17724.613947018945,51373.158110876204
2010-01-13,29722.553947512693,13764.542989758365,47963.16076079344
2010-01-14,36969.66323422439,21739.665088717262,52067.92793843506
2010-01-15,27548.86926819477,9710.806671952907,43778.64387290307
2010-01-17,17156.252680589318,384.89758996026944,33127.71551525159
2010-01-18,35157.667715601536,18589.705049757562,51318.2410677629
2010-01-19,34449.86686873085,17779.616295556174,51328.14579116674
2010-01-20,29510.17863698697,12512.270282144695,45563.74685161954
2010-01-21,36757.2879237033,20336.88792868855,53087.05826598002
2010-01-22,27336.49395769517,11580.561411025366,44619.70424399563
2010-01-24,16943.87737008502,472.669867329436,33788.60244521603
2010-01-25,34945.292405085835,19926.961098344833,50791.08062866623
2010-01-26,34237.49155981427,16767.777481936428,50653.26336040109
2010-01-27,29297.803329683287,15104.289772042188,45611.87037262147
2010-01-28,36544.9126180163,19797.654293991072,52394.951735802606
2010-01-29,27124.118653608628,11438.612344282212,42887.106980874785
2010-01-31,16731.502069250422,75.23880157640076,33529.455798767376
