StockCode,Description,Total_Quantity,Total_Revenue,Total_Orders,Average_Daily_Demand,Maximum_Daily_Demand,Safety_Stock,Reorder_Level,Inventory_Status
10002,INFLATABLE POLITICAL GLOBE ,7971,6333.76,310,25.87987012987013,400,4200.0,181.1590909090909,Healthy
10002R,ROBOT PENCIL SHARPNER,4,20.57,3,1.3333333333333333,2,21.0,9.333333333333332,Restock Soon
10080,GROOVY CACTUS INFLATABLE,12,10.2,5,2.4,6,63.0,16.8,Restock Soon
10109,BENDY COLOUR PENCILS,4,1.68,1,4.0,4,42.0,28.0,Restock Soon
10120,DOGGY RUBBER,487,105.57,47,10.361702127659575,60,630.0,72.53191489361703,Healthy
10123C,HEARTS WRAPPING TAPE ,646,251.81,61,10.59016393442623,144,1512.0,74.1311475409836,Healthy
10123G,ARMY CAMO WRAPPING TAPE,2251,165.55999999999997,16,140.6875,1104,11592.0,984.8125,Healthy
10124A,SPOTS ON RED BOOKCOVER TAPE,46,19.32,14,3.2857142857142856,9,94.5,23.0,Healthy
10124G,ARMY CAMO BOOKCOVER TAPE,21,9.24,7,3.0,5,52.5,21.0,Healthy
10125,MINI FUNKY DESIGN TAPES,853,761.66,81,10.530864197530864,40,420.0,73.71604938271605,Overstock
10133,COLOURING PENCILS BROWN TUBE,1015,863.37,101,10.049504950495049,150,1575.0,70.34653465346534,Healthy
10134,COLOURING PENCILS BROWN TUBE,625,721.13,52,12.01923076923077,200,2100.0,84.13461538461539,Healthy
10135,COLOURING PENCILS BROWN TUBE,2042,2435.21,159,12.842767295597485,700,7350.0,89.8993710691824,Healthy
10138,ASSORTED COLOUR JUMBO PEN,261,111.22,21,12.428571428571429,96,1008.0,87.0,Healthy
11001,ASSTD DESIGN RACING CAR PEN,3267,5115.46,144,22.6875,240,2520.0,158.8125,Healthy
15030,FAN BLACK FRAME ,111,32.19,14,7.928571428571429,15,157.5,55.5,Healthy
15034,PAPER POCKET TRAVELING FAN ,3591,582.4300000000001,123,29.195121951219512,360,3780.0,204.3658536585366,Healthy
15036,ASSORTED COLOURS SILK FAN,20539,14471.71,484,42.523809523809526,1200,12600.0,297.6666666666667,Healthy
15039,SANDALWOOD FAN,3027,2381.39,164,18.45731707317073,250,2625.0,129.2012195121951,Healthy
15044A,PINK PAPER PARASOL ,4506,11771.83,148,30.445945945945947,3500,36750.0,213.12162162162164,Healthy
15044B,BLUE PAPER PARASOL ,1352,3709.11,132,10.242424242424242,500,5250.0,71.69696969696969,Healthy
15044C,PURPLE PAPER PARASOL,657,2019.0400000000002,145,4.531034482758621,50,525.0,31.717241379310344,Healthy
15044D,RED PAPER PARASOL,953,2745.8,144,6.618055555555555,100,1050.0,46.326388888888886,Healthy
15056BL,EDWARDIAN PARASOL BLACK,6756,31999.350000000002,553,12.216998191681736,600,6300.0,85.51898734177215,Healthy
15056N,EDWARDIAN PARASOL NATURAL,7416,36251.1,591,12.548223350253807,600,6300.0,87.83756345177665,Healthy
15056P,EDWARDIAN PARASOL PINK,1750,8124.55,203,8.620689655172415,600,6300.0,60.344827586206904,Healthy
15056bl,EDWARDIAN PARASOL BLACK,39,496.64000000000004,31,1.3,4,42.0,9.1,Healthy
15056n,EDWARDIAN PARASOL NATURAL,53,674.1600000000001,37,1.5142857142857142,5,52.5,10.6,Healthy
15056p,EDWARDIAN PARASOL PINK,17,216.24,15,1.1333333333333333,2,21.0,7.933333333333334,Healthy
15058A,BLUE WHITE SPOTS GARDEN PARASOL,276,1485.24,59,4.677966101694915,14,147.0,32.74576271186441,Healthy
15058B,PINK POLKADOT GARDEN PARASOL,6,47.7,3,2.0,2,21.0,14.0,Restock Soon
15058B,PINK WHITE SPOTS GARDEN PARASOL,204,1394.7,56,3.642857142857143,20,210.0,25.5,Healthy
15058C,ICE CREAM DESIGN GARDEN PARASOL,230,1323.9,50,4.6,30,315.0,32.199999999999996,Healthy
15059A,ENGLISH ROSE EDWARDIAN PARASOL,509,1567.0,4,127.25,505,5302.5,890.75,Restock Soon
15060B,FAIRY CAKE DESIGN UMBRELLA,986,4747.28,330,2.9969604863221884,60,630.0,20.97872340425532,Healthy
15060b,FAIRY CAKE DESIGN UMBRELLA,2,16.94,2,1.0,1,10.5,7.0,Restock Soon
16008,SMALL FOLDING SCISSOR(POINTED EDGE),251,62.75,16,15.6875,36,378.0,109.8125,Healthy
16010,FOLDING CAMPING SCISSOR W/KNIF & S,14,1.68,2,7.0,12,126.0,49.0,Restock Soon
16011, ANIMAL STICKERS,385,80.85,12,32.083333333333336,48,504.0,224.58333333333334,Healthy
16011,ANIMAL STICKERS,1724,360.84,56,30.785714285714285,144,1512.0,215.5,Healthy
16012,FOOD/DRINK SPONGE STICKERS,946,198.66,29,32.62068965517241,72,756.0,228.3448275862069,Healthy
16012,FOOD/DRINK SPUNGE STICKERS,759,158.19,20,37.95,240,2520.0,265.65000000000003,Healthy
16014,SMALL CHINESE STYLE SCISSOR,17042,5503.64,43,396.3255813953488,3000,31500.0,2774.279069767442,Healthy
16015,MEDIUM CHINESE STYLE SCISSOR,911,421.9,42,21.69047619047619,100,1050.0,151.83333333333331,Healthy
16016,LARGE CHINESE STYLE SCISSOR,1065,837.65,45,23.666666666666668,200,2100.0,165.66666666666669,Healthy
16020C,CLEAR STATIONERY BOX SET ,76,64.6,22,3.4545454545454546,12,126.0,24.181818181818183,Healthy
16033,MINI HIGHLIGHTER PENS,14281,1443.72,46,310.45652173913044,1800,18900.0,2173.195652173913,Healthy
16043,POP ART PUSH DOWN RUBBER ,2047,168.54,11,186.0909090909091,960,10080.0,1302.6363636363637,Healthy
16044,POP-ART FLUORESCENT PENS,6193,389.22,3,2064.3333333333335,6144,64512.0,14450.333333333334,Restock Soon
16045,POPART WOODEN PENCILS ASST,412,49.44,6,68.66666666666667,100,1050.0,480.6666666666667,Restock Soon
16046,TEATIME PEN CASE & PENS,9992,1169.1,46,217.2173913043478,4608,48384.0,1520.5217391304348,Healthy
16047,POP ART PEN CASE & PENS,10612,1054.7,31,342.3225806451613,5184,54432.0,2396.258064516129,Healthy
16048,TEATIME ROUND PENCIL SHARPENER ,2001,331.76,38,52.6578947368421,768,8064.0,368.60526315789474,Healthy
16049,TEATIME GEL PENS ASST,2665,478.4,27,98.70370370370371,720,7560.0,690.925925925926,Healthy
16050,TEATIME PENCIL WITH RUBBER,151,46.45,8,18.875,50,525.0,132.125,Healthy
16051,TEATIME PENCIL W STAMP ASST,941,84.69,4,235.25,866,9093.0,1646.75,Restock Soon
16052,TEATIME PUSH DOWN RUBBER,371,167.7,23,16.130434782608695,30,315.0,112.91304347826087,Healthy
16053,POPART COL BALLPOINT PEN ASST,4313,185.73,10,431.3,2000,21000.0,3019.1,Healthy
16054,POPART RECT PENCIL SHARPENER ASST,44,18.48,6,7.333333333333333,36,378.0,51.33333333333333,Restock Soon
16119,FUNKY GIRL ADDRESS BOOK,273,130.71,8,34.125,144,1512.0,238.875,Healthy
16151A,FLOWER DES BLUE HANDBAG/ORANG HANDL,3,11.25,2,1.5,2,21.0,10.5,Restock Soon
16156L,"WRAP, CAROUSEL",475,199.5,18,26.38888888888889,50,525.0,184.72222222222223,Healthy
16156N,"WRAP, FRIENDSHIP ON GREEN",1475,619.5,56,26.339285714285715,50,525.0,184.375,Overstock
16156S,WRAP PINK FAIRY CAKES ,10961,4269.62,256,42.81640625,600,6300.0,299.71484375,Healthy
16161C,WRAP SPEED DEMONS ,450,45.0,2,225.0,350,3675.0,1575.0,Restock Soon
16161E,WRAP BOUDOIR ,750,75.0,9,83.33333333333333,500,5250.0,583.3333333333333,Healthy
16161G,WRAP BAD HAIR DAY,275,27.5,11,25.0,25,262.5,175.0,Healthy
16161M,WRAP  PINK FLOCK,1050,439.0,39,26.923076923076923,50,525.0,188.46153846153845,Healthy
16161P,WRAP ENGLISH ROSE ,6022,2465.48,193,31.202072538860104,372,3906.0,218.41450777202073,Healthy
16161U,WRAP SUKI AND FRIENDS,2651,1055.42,76,34.88157894736842,400,4200.0,244.17105263157893,Healthy
16161U,"WRAP,SUKI AND FRIENDS",3350,1363.0,110,30.454545454545453,400,4200.0,213.1818181818182,Healthy
16162L,THE KING GIFT BAG,8081,557.43,22,367.3181818181818,3744,39312.0,2571.2272727272725,Healthy
16162M,THE KING GIFT BAG 25x24x12cm,60,25.2,5,12.0,12,126.0,84.0,Restock Soon
16168M,FUNKY MONKEY GIFT BAG MEDIUM,1342,351.89,63,21.3015873015873,288,3024.0,149.11111111111111,Healthy
16168S,FUNKY MONKEY GIFT BAG SMALL,1283,126.83,11,116.63636363636364,432,4536.0,816.4545454545455,Healthy
16169A,WRAP CHRISTMAS DECOUPAGE,25,10.5,1,25.0,25,262.5,175.0,Restock Soon
16169C,WRAP BLUE REINDEER,1350,567.0,43,31.3953488372093,100,1050.0,219.7674418604651,Healthy
16169D,WRAP WINTER FOREST,250,105.0,9,27.77777777777778,50,525.0,194.44444444444446,Healthy
16169F,WRAP BLIZZARD,975,409.5,34,28.676470588235293,50,525.0,200.73529411764704,Healthy
16169G,WRAP ROMANTIC DECOUPAGE,25,10.5,1,25.0,25,262.5,175.0,Restock Soon
16169K,WRAP FOLK ART,1900,585.25,53,35.84905660377358,500,5250.0,250.94339622641508,Healthy
16169M,WRAP DAISY CARPET ,1400,363.75,34,41.1764705882353,500,5250.0,288.2352941176471,Healthy
16169N,WRAP BLUE RUSSIAN FOLKART,2025,626.25,56,36.160714285714285,500,5250.0,253.125,Healthy
16169P,WRAP GREEN RUSSIAN FOLKART ,1700,512.75,46,36.95652173913044,500,5250.0,258.69565217391306,Healthy
16192,PINK BALLET OPENING CUBE BOX ,3,12.9,1,3.0,3,31.5,21.0,Restock Soon
16201A,PASTEL PINK PHOTO ALBUM,101,213.37,9,11.222222222222221,36,378.0,78.55555555555554,Healthy
16201B,PASTEL BLUE PHOTO ALBUM,34,81.1,5,6.8,12,126.0,47.6,Restock Soon
16202A,PASTEL PINK PHOTO ALBUM ,655,286.95,19,34.473684210526315,300,3150.0,241.31578947368422,Healthy
16202B,PASTEL BLUE PHOTO ALBUM ,1010,514.06,20,50.5,444,4662.0,353.5,Healthy
16202C,BEIGE PHOTO ALBUM,97,230.59,12,8.083333333333334,28,294.0,56.583333333333336,Healthy
16202E,BLACK PHOTO ALBUM ,67,155.23,11,6.090909090909091,12,126.0,42.63636363636363,Healthy
16206B,RED PURSE WITH PINK HEART,89,107.65,14,6.357142857142857,24,252.0,44.5,Healthy
16207A,PINK STRAWBERRY HANDBAG ,83,260.43,42,1.9761904761904763,6,63.0,13.833333333333334,Healthy
16207B,PINK HEART RED HANDBAG,236,381.51,28,8.74074074074074,120,1260.0,61.18518518518518,Healthy
16212,FUNKY GIRLZ ASST MAGNETIC MEMO PAD,366,287.01,37,9.891891891891891,36,378.0,69.24324324324324,Healthy
16215,FUNKY GIRLZ MAGNETIC TO DO LIST ,8,5.2,3,2.6666666666666665,4,42.0,18.666666666666664,Restock Soon
16216,LETTER SHAPE PENCIL SHARPENER,825,137.64000000000001,43,19.186046511627907,80,840.0,134.30232558139534,Healthy
16218,CARTOON  PENCIL SHARPENERS,811,171.21,37,21.91891891891892,80,840.0,153.43243243243245,Healthy
16219,HOUSE SHAPE PENCIL SHARPENER,310,93.53,29,10.689655172413794,24,252.0,74.82758620689656,Healthy
16225,RATTLE SNAKE EGGS,714,605.83,68,10.5,288,3024.0,73.5,Healthy
16235,RECYCLED PENCIL WITH RABBIT ERASER,2838,659.1,151,18.794701986754966,180,1890.0,131.56291390728475,Healthy
16236,KITTY PENCIL ERASERS,1228,279.21999999999997,130,9.446153846153846,56,588.0,66.12307692307692,Overstock
16237,SLEEPING CAT ERASERS,5944,1289.1,308,19.2987012987013,270,2835.0,135.0909090909091,Overstock
16238,PARTY TIME PENCIL ERASERS,1127,258.01,111,10.153153153153154,56,588.0,71.07207207207207,Healthy
16239,BALLERINA HEART DECORATION.,347,492.17,21,16.523809523809526,288,3024.0,115.66666666666669,Healthy
16243B,BROWN COZY SQUARE PHOTO ALBUM,212,441.77,8,26.5,205,2152.5,185.5,Healthy
16244A,MAXWELL 2 TONE PINK 60 PAGE PHOTO A,186,479.40999999999997,28,6.642857142857143,87,913.5,46.5,Healthy
